video_id,clean_text,like_count,published_at,is_reply,cluster,aspect,sentiment
qhW1HfSuPVQ,this is actually a really good video,2,2020-09-02T08:12:46Z,0,3,visual effects and CGI,2
qhW1HfSuPVQ,i gotta say james this is actually a very good video,0,2020-09-03T17:53:50Z,0,3,directing and vision,2
j3DuONZb3Ik,nolan said no need to go there duh,1,2022-08-04T11:57:34Z,0,0,clarity and complexity,1
j3DuONZb3Ik,its totally a resume lol,0,2020-04-25T13:19:29Z,1,0,science and physics,1
zSWdZVtXT7E,at he sounds just like bales batman lol,0,2014-06-20T00:27:32Z,0,0,acting and performances,1
BHsFzDON6pA,i just saw interstellar today chris and wow was i blown away this movie to me was freakin amazingthis is a beautiful movie with a great story great acting and a great score by hans zimmeri have no complaints about this movie its perfect this is the best movie of the year and this is my new favorite movie of all timei want to see it again to me nolan can do no wrong hes an amazing director hes a passionate director and a great story teller,0,2014-11-09T08:53:33Z,0,1,visual effects and CGI,2
zSWdZVtXT7E,wipe your ass with another planet after this life after this world the judgment receive king god jesus now before it s too late in love and war all hail king jesus all praise emmanuel,0,2014-05-18T02:13:57Z,0,2,ending,2
j3DuONZb3Ik,very nice explanation of the movie i had bot understood it that clearly i must say snd i sure would have never been able to explain it that well terrirc job thank you,0,2025-03-25T14:47:31Z,0,1,story and plot,2
qhW1HfSuPVQ,i understand the concept of the story because we watched this movie during our discussion in physics theory of relativity and thanks though for the explanation i just needed some more evidence and we already read the book of this story,0,2016-08-31T12:33:24Z,0,2,story and plot,2
qhW1HfSuPVQ,i did understand and loved interstellar but i enjoyed your video anyway,0,2014-11-19T23:53:20Z,0,1,visual effects and CGI,2
j3DuONZb3Ik,this movie was good up until the end,0,2021-07-18T03:28:33Z,0,1,ending,2
j3DuONZb3Ik,future generation searching meaning of quarantine in dictionary or on search engines results quarantine cooper noun but works as verb the origin of the word from interstellar use in sentence due to pandemic in back the world was in cooper to avoid the contagious disease,0,2021-03-20T08:56:01Z,0,2,clarity and complexity,1
j3DuONZb3Ik,really enjoyed that clip not yet seen the film,0,2022-05-16T18:42:45Z,0,1,ending,2
j3DuONZb3Ik,the ending of interstellar finally explained it fucking sucked,0,2022-11-15T19:49:53Z,0,1,ending,0
j3DuONZb3Ik,watched this movie in the theaters i was so amazed because my homies wanted to see and i didnt know what i was about to watch,0,2022-01-18T14:55:49Z,0,1,story and plot,2
j3DuONZb3Ik,and then from movie we drop to which makes it not as fantastic as you try to convince us,0,2020-05-17T16:33:38Z,0,1,story and plot,0
zSWdZVtXT7E,mackenzie foy jessica chastain and ellen burstyn are all playing the same character over decades implying the crew will be gone for at least years hope that they do return however christopher nolan has implied there will be time travel of some form very curious to how it all plays out,1,2014-07-25T14:55:27Z,0,2,ending,1
j3DuONZb3Ik,danke place is it as good as interstellar,0,2022-11-02T09:27:32Z,1,1,music and soundtrack,1
qhW1HfSuPVQ,jona actually this is a really good video,2,2022-06-23T05:13:10Z,1,3,music and soundtrack,2
j3DuONZb3Ik,interstellar made men cry,275,2020-03-05T15:02:00Z,0,1,emotional impact,0
zSWdZVtXT7E,because the only thing more awesome than matthew mcconaughey is matthew mcconaughey in spaaaace,3,2014-05-18T10:08:36Z,0,0,acting and performances,2
j3DuONZb3Ik,one of my favourite movies in my the top for sure,0,2020-03-30T03:33:06Z,0,1,music and soundtrack,2
qhW1HfSuPVQ,is interstellar prequel to cowboy bebop,0,2018-07-02T21:40:10Z,0,1,ending,1
zSWdZVtXT7E,i noticed in the trailer that older murph is wearing her dads jacket and i just think thats a really nice touch,2,2014-05-30T15:46:24Z,0,0,story and plot,2
qhW1HfSuPVQ,it is almost and this is still just an absolute good video for sure,1,2025-11-09T15:53:26Z,0,3,clarity and complexity,2
zSWdZVtXT7E,i dont understand why i am stuck in this page and repeatedly watching this trailer,0,2014-05-18T07:03:47Z,0,1,ending,0
zSWdZVtXT7E,it will be a new a space odyssey,0,2014-08-02T08:58:53Z,0,2,ending,1
zSWdZVtXT7E,were not meant to save the worldwere meant to leave it,0,2014-05-28T20:10:39Z,0,0,ending,0
j3DuONZb3Ik,now i understand the whole library scene im glad everything in life doesnt have to be explained to me,12,2021-05-01T15:56:03Z,0,1,story and plot,2
zSWdZVtXT7E,do they actually leave earth or is just a melodrama about the potential of interstellar travel,0,2014-05-19T13:42:34Z,0,2,ending,1
zSWdZVtXT7E,that is a fallacy there is always a need for engineers even if all they do is fix complicated machinery ie maintenance,1,2014-06-14T16:08:22Z,1,0,science and physics,0
zSWdZVtXT7E,ok now i understand what its all about i can dig it,4,2014-05-16T23:41:36Z,0,0,story and plot,2
qhW1HfSuPVQ,and if it was cryosleep how did he get himself up and how did he know what was happening while asleep,1,2018-03-05T00:36:14Z,1,0,story and plot,1
qhW1HfSuPVQ,why are the comments so new,1,2020-09-08T03:37:44Z,0,0,clarity and complexity,0
j3DuONZb3Ik,i regret not seeing this movie in the theater,0,2020-06-16T01:06:57Z,0,1,acting and performances,0
zSWdZVtXT7E,to me the hurdle for space travel is those nickel and quarter sized pieces of iron that are traveling at k mph once you learn how to deflect those little pieces of ironmetal then we can concentrate on trying to find how to even obtain a small of light speed,0,2014-05-17T20:08:56Z,0,2,science and physics,1
qhW1HfSuPVQ,actually this is a really good video,1,2020-09-01T18:30:32Z,1,3,visual effects and CGI,2
qhW1HfSuPVQ,what was dr manns motive for murder and theft of the ship,4,2019-01-13T15:57:42Z,0,2,story and plot,0
j3DuONZb3Ik,ben worst explanation in history,1,2020-03-09T01:54:02Z,1,0,ending,0
j3DuONZb3Ik,now im even more confused great movie i watched it times,0,2021-01-29T01:59:34Z,0,1,story and plot,2
j3DuONZb3Ik,had methen lost me on joker thumbs down on joker,0,2022-01-18T04:08:37Z,1,0,ending,0
qhW1HfSuPVQ,not hearing notes from an electric guitar at the beginning of this video really threw me off not gonna lie,1,2020-09-02T05:36:55Z,0,0,music and soundtrack,0
j3DuONZb3Ik,wowsomeone needed explanation no wonder we have trump as president,0,2020-03-05T17:00:59Z,0,0,clarity and complexity,0
j3DuONZb3Ik,patrickd yes that is what i was trying to say so he would have aged some and not be he same age eventhough he did not get the years back,0,2023-08-04T22:23:12Z,1,0,acting and performances,1
BHsFzDON6pA,i dont find to be low but interstellar deserved at least an a imo,81,2016-03-24T18:37:36Z,1,1,acting and performances,1
j3DuONZb3Ik,this movie is the best,1,2024-07-15T05:30:50Z,0,1,ending,2
j3DuONZb3Ik,nataliacmez i mean thats the point of time,7,2021-07-16T01:19:33Z,1,0,ending,1
qhW1HfSuPVQ,this is actually a very good video,0,2020-09-02T02:56:54Z,1,3,visual effects and CGI,2
BHsFzDON6pA,so glad i watched interstellar in the theater when it was released i didnt plan on watching it but me and a friend were bored one day and just randomly decided to see it we were both blown away and were on the verge of tears when we walked out of the theater we were still trying to process what happened no movie is perfect but i can say i havent seen many movies that have impacted me like instellar did,6,2019-07-15T03:37:37Z,0,1,emotional impact,2
qhW1HfSuPVQ,my favorite moments are every tars moment,1,2016-04-02T14:26:08Z,0,0,ending,2
j3DuONZb3Ik,everything is quantifiable we just havent found methods to quantify it after everything we experience is s and s of neurons firing,0,2020-03-05T15:54:56Z,0,0,science and physics,1
j3DuONZb3Ik,same its because i dont trust myself,1,2021-02-09T20:04:14Z,1,0,ending,0
j3DuONZb3Ik,this movie was amazing and one of my favorites never got as much credit as it deserved its also easy to understand as long as you pay attention,18,2021-10-05T22:19:01Z,0,1,story and plot,2
j3DuONZb3Ik,vsolary yt and maybe why youre talking to the wall you are actually talking to yourself in the th dimension just like cooper in the library trying to reach murph,67,2020-07-27T11:50:24Z,1,2,directing and vision,1
BHsFzDON6pA,chris you were mentioned on watchmojo as a top movie critic check it out,0,2014-11-06T01:35:02Z,0,1,acting and performances,1
j3DuONZb3Ik,im pretty damn confused,0,2020-08-17T13:27:53Z,0,0,story and plot,0
j3DuONZb3Ik,them was literally the people from the future cooper had said that when he was looking through the infinite library,1,2022-07-11T04:21:26Z,0,2,clarity and complexity,1
qhW1HfSuPVQ,i agree this is a great video,3,2021-10-18T08:12:37Z,1,3,visual effects and CGI,2
BHsFzDON6pA,you gave this legendary piece of masterful cinematography a b,0,2021-04-25T07:12:55Z,0,1,visual effects and CGI,2
qhW1HfSuPVQ,to much waffle frusted by poor humour go find a better plot explanation,0,2025-09-11T16:16:14Z,0,0,story and plot,0
zSWdZVtXT7E,mass effect prequel d,0,2014-05-17T00:15:35Z,0,1,ending,1
qhW1HfSuPVQ,you sir have earned yourself an irrelevant new sub congrats or whatever,0,2018-06-24T03:38:18Z,0,0,emotional impact,1
j3DuONZb3Ik,if cooper had to find the library to save the humans how was the library created in the first place humans would of been dead already since cooper was only able to help murph because of futuristic technology but that technology would of never existed if cooper hadnt found the library,0,2020-03-26T10:13:27Z,0,2,clarity and complexity,0
j3DuONZb3Ik,imisterenigma no the explanation still makes sense it is not a linear time map of events time reaches across all five dimensions the past present and future are all happening simultaneously hypothetically a doesnt have to happen for b to happen which ends in c a b and c theoretically are happening at the same time across dimensions either way we cannot understand dimensions so no amount of thinking will solve the confusion hopefully i cleared at least some confusion if not idk dude im just an evolved monkey,0,2020-03-30T20:19:36Z,1,2,visual effects and CGI,1
qhW1HfSuPVQ,i recommend anyone who has trouble comprehending the dimensional stuff to go watch imagining the th dimension its a pretty good video someone put together here for youtube several years back,0,2014-12-10T11:11:40Z,0,0,science and physics,2
BHsFzDON6pA,taken had an after you cant take imdb seriously until a week after release,41,2014-11-05T15:40:47Z,1,1,acting and performances,1
j3DuONZb3Ik,thats the most logical and simplified explanation ive read to date i totally agree,0,2020-06-18T07:59:22Z,1,0,clarity and complexity,2
j3DuONZb3Ik,why dont the future human give them the quantum data without all the drama how did the first future humanity survive at the first place assuming no body was there to help them,0,2022-01-16T08:41:26Z,0,2,science and physics,0
qhW1HfSuPVQ,such a well thought out thoroughly put together video keep up the great work mr sunday this was just a really great video,0,2020-09-01T14:49:27Z,0,3,clarity and complexity,2
qhW1HfSuPVQ,actually this a really good video,0,2020-09-01T22:22:28Z,1,3,visual effects and CGI,2
j3DuONZb3Ik,please someone explain how did they the future humans even survived,1,2020-04-11T13:00:38Z,0,2,story and plot,0
qhW1HfSuPVQ,guys cant you get it when cooper traveled to brand in edmund planet he created the th demension humans and created the wormhole cooper is one who created it all at the firts place because the time in edmund planet is different,0,2019-02-09T05:34:24Z,0,2,clarity and complexity,1
qhW1HfSuPVQ,actually this is a really good video,0,2020-09-01T18:43:39Z,1,3,visual effects and CGI,2
qhW1HfSuPVQ,actually this is a really good video,1,2020-09-01T15:07:32Z,0,3,visual effects and CGI,2
BHsFzDON6pA,this is such a bs review,0,2019-10-07T02:13:00Z,0,0,clarity and complexity,0
zSWdZVtXT7E,damn the music in this trailer is fantastic anyone know what the title and artist of the track is or where i could download it,0,2014-05-17T15:31:08Z,0,1,music and soundtrack,2
qhW1HfSuPVQ,you just retold the plot you didnt really explain anything,0,2015-04-14T20:31:49Z,0,0,story and plot,0
j3DuONZb3Ik,did looper just completely ruin an entire movie this is horrible if you really need the ending explained you should stay away from sci fi,0,2020-10-18T15:39:51Z,0,1,ending,0
j3DuONZb3Ik,how many goddamn ads do you want,0,2020-03-13T09:00:54Z,0,0,music and soundtrack,0
j3DuONZb3Ik,this movie is an absolute masterpiece and the ending makes me cry every time,3560,2020-04-03T21:26:11Z,0,1,ending,2
j3DuONZb3Ik,your talking hour over there being years up here that would make hours over there being years down here tars would be old technology in only the travel time to get you out there in the final wild and open for now it cant be done stop stalking me,1,2020-06-15T11:36:18Z,0,2,clarity and complexity,0
qhW1HfSuPVQ,terrible movie fake as hell,0,2025-02-28T12:07:13Z,0,1,story and plot,0
j3DuONZb3Ik,misleading title this was already generally explained years ago,0,2020-03-10T08:20:39Z,0,0,clarity and complexity,0
BHsFzDON6pA,i give u the least grade of the alphabets,0,2021-08-29T22:21:55Z,0,0,characters,0
j3DuONZb3Ik,maybe i mean probably but dont forget that amelia is staggeringly breathtakingly stupid and doesnt have the survival skills of a boy scout troop i like to imagine that last scene is like doms spinning top at the end of inception we are left to wonder if she fell over the moment the screen went black,0,2023-08-04T21:20:07Z,1,1,ending,0
qhW1HfSuPVQ,didnt murph tell coop to go see brand brand because she waiting for us on our new planet taking in her first breath,1,2014-11-10T01:41:47Z,1,0,characters,1
zSWdZVtXT7E,this is not black hole d,1,2014-07-08T07:47:47Z,1,2,science and physics,1
zSWdZVtXT7E,omg is that renesmee,0,2014-07-04T07:14:31Z,0,0,ending,1
j3DuONZb3Ik,after ive seen this ive recommended to ppl ik,0,2020-03-31T19:59:35Z,0,0,story and plot,1
j3DuONZb3Ik,when cooper is falling into the black hole back in our solar system its been years at that very moment he is falling has earth been saved or is it a barren hellscape because he has yet to send the quantum data,0,2020-04-01T02:26:44Z,1,2,ending,1
j3DuONZb3Ik,with all that interstellar black hole library dimension technology they still have a problem with death,0,2020-03-09T23:41:35Z,0,2,science and physics,0
qhW1HfSuPVQ,nah all of yall got it wrong when we see copper on earth thats the past hes already up in space we are seeing his self in the past leading up too those moments while hes up in space everything is happening like how it did but hes up in space already when we see the hand go in the space ship and the black guys like dont dont thats copper reaching out too him self and shit the whole movie is on a loop hes stuck in on earth him self is pushing the books too bring him and i dont know hope yall understand this,0,2019-10-15T17:09:48Z,0,2,visual effects and CGI,1
BHsFzDON6pA,other instances dont make sense like hathaways character still being young when mcconaughey got back to saturnand decides to look for her he would end up an old man by the time he actually reached her making his trip to find her beyond reasonable in my understanding,0,2017-01-08T23:02:36Z,1,0,story and plot,0
zSWdZVtXT7E,i wish that spielberg had directing interstellar nolan is very intelligent but not really legendary his best movie was tdk and sure inception,0,2014-05-18T13:10:29Z,0,1,directing and vision,1
qhW1HfSuPVQ,awesome loved the movie,0,2014-11-10T11:50:45Z,0,1,music and soundtrack,2
j3DuONZb3Ik,gravity is still a theory,0,2021-02-13T23:35:57Z,0,2,science and physics,1
BHsFzDON6pA,i was crying the whole time,30,2020-07-07T03:10:20Z,1,0,ending,1
qhW1HfSuPVQ,reminds me of event horizon,0,2014-11-09T08:12:25Z,0,2,ending,1
qhW1HfSuPVQ,its a tesseract in that black hole and old murph didnt want coop to see his child die thats why she sent him away,1,2014-11-19T19:54:59Z,0,2,ending,0
zSWdZVtXT7E,alsonolan casted mcconaghey before dallas buyers club and true detective had come out he casted him based on his performance in mud againnolan being prophetic,0,2014-05-18T22:16:57Z,0,0,acting and performances,1
j3DuONZb3Ik,still my favorite movie of all time the soundtrack is also great,0,2020-03-27T01:08:54Z,0,1,music and soundtrack,2
zSWdZVtXT7E,so he goes into space then she follows him when she grows up she was in a suit but older,0,2014-07-27T14:51:46Z,0,2,ending,1
j3DuONZb3Ik,jmzgjg bit of a passive aggressive comment there mate dont you think actually the film isnt meant to be primarily about science science is the medium for which nolan is telling a story about how love can transcend time its much more to do with human emotions and perceptions of time and what it means to be human than whether we can go through a black hole using some pseudo mit science,1,2022-04-14T10:35:58Z,1,1,science and physics,1
j3DuONZb3Ik,my favorite movie of all time watched it so many times,0,2020-07-16T16:12:19Z,0,1,story and plot,2
j3DuONZb3Ik,time dilation is no joke,0,2021-04-18T22:32:34Z,0,0,science and physics,1
qhW1HfSuPVQ,say what you will about his voice but this is actually a very good video,0,2025-01-08T03:56:16Z,0,3,acting and performances,2
BHsFzDON6pA,i feel that the ending lacked an emotional punch for you mostly because of your expectations i watched the movie while not knowing anything about it and i still remember the soundtrack the faces when father and daughter finally meet and the small amount of hope the movie gives to cooper that there might be a good personal ending for him yet,38,2020-07-18T12:34:03Z,0,1,ending,1
j3DuONZb3Ik,if anything it had the happiest as humans colonised the whole solar system instead of just setting up a small colony on edmunds planet and abandoning earth and everyone on it,37,2022-12-11T02:26:30Z,1,2,ending,2
j3DuONZb3Ik,basically this video doesnt explain anything in depth its watching interstellar in mins,0,2023-12-04T16:57:57Z,0,1,visual effects and CGI,0
j3DuONZb3Ik,so wait cooper brand get together and are the parents of the th dimensional humans in the future,0,2021-06-05T01:38:50Z,0,2,characters,1
j3DuONZb3Ik,so if edmunds is habitable why dont the human of the future live on edmunds instead now that they have figured out how to leave earth in mass,0,2021-01-23T05:53:17Z,0,2,science and physics,1
j3DuONZb3Ik,they didnt bring us here we brought ourselves to comprehend life in such a different way to see the future without ever having been there begins in the dirt and the water and the air so simple and obvious people are looking right over it,149,2020-09-16T22:52:35Z,0,2,directing and vision,1
BHsFzDON6pA,the movie was amazing a must see in imax it does have some slaws it wont win any oscars but it is a phenomenal movie experience that left me speechless,0,2014-11-05T17:59:44Z,0,1,acting and performances,2
qhW1HfSuPVQ,this is actually a really good video,1,2020-09-01T23:08:30Z,1,3,visual effects and CGI,2
qhW1HfSuPVQ,interstellar is probably the only bizarre movie made by cris nolan,0,2021-07-26T11:40:21Z,0,1,visual effects and CGI,1
qhW1HfSuPVQ,i actually hate your voice,0,2017-03-03T17:14:19Z,0,0,music and soundtrack,0
j3DuONZb3Ik,dirtandmud ii this from the guy who thought this bs movie was hard to understand,0,2022-11-14T16:22:29Z,1,1,story and plot,0
j3DuONZb3Ik,dirtandmud ii how seems like an unfulfillable plot hole humanity survives to save humanity from a past they already survived,0,2022-11-12T23:09:44Z,1,2,story and plot,0
qhW1HfSuPVQ,learn about wormhole and blackhole first dude,0,2017-10-30T20:15:24Z,0,2,science and physics,1
BHsFzDON6pA,exactly they should have ended the movie earlier it did seem too contrived and happily ever after in the end,0,2014-11-27T19:56:01Z,0,1,ending,1
j3DuONZb3Ik,marcovieira eagerly waiting for part,1,2020-12-21T15:27:29Z,1,0,ending,2
j3DuONZb3Ik,well you should probably say what you dont get besides still dont get it,1,2021-05-16T10:44:38Z,1,0,characters,0
qhW1HfSuPVQ,aaron kalat nice theory the only problem with it is according to the movie whoever they are are the ones who also built the worm hole so if they the future humans colonized on the new planet theres still that never ending loop because the new planet would have never been colonized if the worm hole never appeared get my drift id rather take it back to the movie mission to mars theory that we come from aliens and in interstellar they reached out to help their children in need,83,2014-11-18T20:32:15Z,1,2,ending,1
j3DuONZb3Ik,main failure of the movie is why did they decide to land on a planet that was covered in water in the first place and risk losing something years it doesnt even make logical sense when its the first crew that landed there before them either not just that but a huge blackhole next the planet wouldnt of offer a safe place for humans to live on the other issue with the movie story is the problem of solving gravity they want to get a space station up in space just fly up there in a rocket and build it the movie would of made more sense if it was just a giant rocket with s of sleep pods in it flying towards a blackhole for a new planet,0,2021-09-28T16:38:27Z,0,2,story and plot,0
j3DuONZb3Ik,you never seen it its a masterpiece seriously its incredible,0,2025-01-24T22:17:14Z,1,1,music and soundtrack,2
j3DuONZb3Ik,can someone pleaseee explain why interstellar is a masterpiece it drags a lot and some things dont make sense the sound mixing is awful score is good pacing is awful and anne hathaway performance is annoying,0,2020-08-26T09:14:06Z,0,1,music and soundtrack,0
zSWdZVtXT7E,a trailer finally looks awesome cant wait,0,2014-05-17T18:57:11Z,0,1,visual effects and CGI,2
qhW1HfSuPVQ,top notch video quality content very good james,0,2020-09-02T12:48:40Z,0,3,music and soundtrack,2
j3DuONZb3Ik,that part was amazing so trippy,94,2020-10-10T03:15:23Z,1,0,ending,2
j3DuONZb3Ik,i cry every single time from the scene with murph in the hospital bed even watching this and seeing that scene always brings tears to my eyes,0,2022-02-26T10:30:27Z,0,1,emotional impact,1
zSWdZVtXT7E,people its a good thing nolan moved away from batman lets see him with original work to truly understand how gifted christopher really is,0,2014-05-19T19:52:47Z,0,1,acting and performances,2
j3DuONZb3Ik,one of the things that i realized after a few viewings was how everything that happened needed to happen from dr brand getting them stuck on the water planet to dr manns cowardice and failure all of that lead to coopers sacrifice which is what allowed the th dimensional beings to get cooper to tesseract in gargantua and enabled him to pass the data he needed to murph in order to save humanity,0,2022-09-05T15:08:06Z,0,2,ending,1
j3DuONZb3Ik,oh my god now i am more confused and will search youtube for the ending of interstellar finally explained explained,0,2021-09-16T08:17:12Z,0,2,ending,0
zSWdZVtXT7E,christopher nolan the director behind the batman reboot and inception doing scifi film about space travel this looks epic,0,2014-05-18T11:00:11Z,0,1,visual effects and CGI,2
j3DuONZb3Ik,coopers jealousy after knowing about relationship of brand and edmund ruined everything,1,2020-04-19T10:45:30Z,0,0,ending,0
BHsFzDON6pA,josef hautala haters gonna hate more people like it than dislike it you say it because you go browse videos against the movie and they all hate whatever im not gonna waste my time on you,0,2015-08-03T17:48:06Z,1,1,ending,0
BHsFzDON6pA,why do people keep wanting for ambiguity in the ending of film why why do they want to be smarter to act smarter or to prove they are smart i dont have problem with the happy ending so why,1,2017-04-12T03:26:13Z,0,1,ending,0
j3DuONZb3Ik,rightseemed easier to grow food on the moon that part lost me,0,2022-01-18T04:12:19Z,1,0,story and plot,1
j3DuONZb3Ik,i still dont know what happened,0,2020-05-18T20:40:21Z,0,0,ending,0
j3DuONZb3Ik,interstellar looks like the love child of contact and sign movie plus the better scifi stuff,0,2021-10-04T01:20:42Z,0,1,music and soundtrack,2
zSWdZVtXT7E,i knew i recognised it from somewhere thanks,0,2014-05-16T18:47:54Z,1,0,music and soundtrack,2
j3DuONZb3Ik,the best scifi movie ive ever seen in my opinion,0,2022-01-21T20:59:52Z,0,1,science and physics,2
j3DuONZb3Ik,if theres no relationshiplove in this movie basically theres nothing to make u cry,0,2020-04-08T23:53:10Z,1,1,emotional impact,0
qhW1HfSuPVQ,finally after watching the movie twice i accepted the fact my brain aint smart enough,1,2018-09-09T18:58:01Z,0,1,ending,0
zSWdZVtXT7E,nolan scifi ill need a change of underwear in the theater,0,2014-05-18T13:05:48Z,0,1,music and soundtrack,0
j3DuONZb3Ik,what does scifi mean science fiction right and yet this movie was close to scientific reality at that time we didnt even have the real photo of a super massive black hole,0,2023-01-13T18:37:13Z,1,2,science and physics,1
qhW1HfSuPVQ,actually this is a really good video,0,2020-09-01T16:35:45Z,1,3,visual effects and CGI,2
j3DuONZb3Ik,there isnt much to explain though is it its not that confusing of a movie,0,2020-04-03T14:12:14Z,0,1,story and plot,1
qhW1HfSuPVQ,good video i might of done this before,0,2021-06-18T01:36:45Z,0,3,story and plot,2
qhW1HfSuPVQ,well he explained it really well and its a great and amazing video that has a perfect analysis of this and understandable movie,0,2022-08-06T04:21:59Z,1,1,clarity and complexity,2
j3DuONZb3Ik,i had the pleasure of watching this on n science class years ago and i cant thank my teacher enough,4,2022-12-04T04:15:57Z,0,0,science and physics,2
j3DuONZb3Ik,this movie made me cry actually,0,2020-06-02T22:47:00Z,0,1,emotional impact,0
BHsFzDON6pA,interstellar is a time thief i wish i had spent that time eating glassand no i dont need some nutbag to explain it to me i get it really its just that it bored the shit out of me and anyone looking to explain should save their energies so they can explain story structure dialogue and character development to mr nolan this is a sedative not a movie i wish i had gone into suspended animation like the characters sleeping through this pigfuck was the right idea,0,2015-04-28T23:54:15Z,0,1,story and plot,0
j3DuONZb3Ik,how were the massive space stations built nasa had almost no funding and the public didnt believe space travel was possibleeven schools taught the apollo missions were faked how did dr manns habitat still have breathable air after so many years how did future humans save a past world on the verge of extinction wouldnt have humanity died out why did future humans have to send us to another galaxy there seriously wasnt another habitable planet in the entire milky way,0,2023-06-03T11:58:47Z,0,2,clarity and complexity,0
zSWdZVtXT7E,expecting something as great as inception and dark knight trailer seems familiar but the movie will be fresh and surprising,0,2014-05-19T15:41:31Z,0,1,ending,2
qhW1HfSuPVQ,also cooper only found the nasa base because he had already found it and thus was able to send himself the coordinates for a place that he had never been to while being there this movid had the potential to be scifi perfection but they had to ruin it,2,2016-06-25T07:43:39Z,1,2,science and physics,1
j3DuONZb3Ik,alternative interpretation he died in the black hole and his mind made up the rest in his final moments he did say his final thoughts would be of his family,0,2022-10-23T10:58:07Z,0,2,ending,1
BHsFzDON6pA,seriously man your grading sucks ass here,1,2019-07-25T08:36:25Z,0,0,clarity and complexity,0
qhW1HfSuPVQ,cats in the cradle reference got me cackling,0,2024-12-06T06:42:10Z,0,0,story and plot,1
